# SNAPLOG logfile.
# simt, id, type, lat, lon, alt, hdg, trk, tas, gs, gsnorth, gseast, cas, M, vs, p, rho, Temp, dtemp, aspd, aptas, ama, apalt, avs
45.0,MS841,B737,-1.60317869,0.02009622,9144.00000000,0.00000000,0.00000000,192.89687037,192.89687037,192.89687037,0.00000000,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
45.0,MS843,B737,-0.94570308,-0.63470775,9144.00000000,87.75644049,87.75644049,192.89687037,192.89687037,7.55142915,192.74900393,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
45.0,MS844,B737,-0.48092718,-0.43868800,9144.00000000,125.59596738,125.59596738,190.89053877,190.89053877,-111.11084283,155.22106300,120.70986209,0.62964109,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
45.0,MS845,B737,-0.29442666,0.01956172,9144.00000000,177.83550053,177.83550053,198.60719877,198.60719877,-198.46549447,7.50112722,125.91929135,0.65509404,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
45.0,MS846,B737,-0.47931377,0.47735291,9144.00000000,243.70118231,243.70118231,189.24431797,189.24431797,-83.84520444,-169.65669329,119.60325246,0.62421113,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
45.0,MS847,B737,-0.93841312,0.67498663,9144.00000000,277.75047831,277.75047831,192.89687037,192.89687037,26.01391801,-191.13471340,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
45.0,MS848,B737,-1.40794931,0.48619198,9144.00000000,318.67127920,318.67127920,192.89687037,192.89687037,144.85266383,-127.38488286,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
50.0,MS842,B737,-1.40161720,-0.44071174,9144.00000000,41.32872080,41.32872080,192.89687037,192.89687037,144.85266383,127.38488286,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
50.0,MS841,B737,-1.59450487,0.02009622,9144.00000000,0.00000000,0.00000000,192.89687037,192.89687037,192.89687037,0.00000000,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
50.0,MS843,B737,-0.94536352,-0.62603940,9144.00000000,87.75644049,87.75644049,192.89687037,192.89687037,7.55142915,192.74900393,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
50.0,MS844,B737,-0.48606382,-0.43181179,9144.00000000,126.62504346,126.62504346,190.32465037,190.32465037,-113.54306573,152.74634124,120.32927932,0.62777454,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
50.0,MS845,B737,-0.30338487,0.02001246,9144.00000000,176.84778261,176.84778261,200.09908637,200.09908637,-199.79633047,11.00321307,126.93072976,0.66001494,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
50.0,MS846,B737,-0.48284476,0.46963151,9144.00000000,245.57479864,245.57479864,188.78131837,188.78131837,-78.06200982,-171.88574341,119.29231451,0.62268396,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
50.0,MS847,B737,-0.93724337,0.66639090,9144.00000000,277.75047831,277.75047831,192.89687037,192.89687037,26.01391801,-191.13471340,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
50.0,MS848,B737,-1.40143586,0.48046226,9144.00000000,318.67127920,318.67127920,192.89687037,192.89687037,144.85266383,-127.38488286,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
55.0,MS842,B737,-1.39504350,-0.43506460,9144.00000000,39.28612393,39.28612393,192.38242637,192.38242637,148.90276313,121.81529094,121.71415325,0.63456200,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
55.0,MS841,B737,-1.58583105,0.02009622,9144.00000000,0.00000000,0.00000000,192.89687037,192.89687037,192.89687037,0.00000000,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
55.0,MS843,B737,-0.94492182,-0.61736905,9144.00000000,85.71982708,85.71982708,193.41131437,193.41131437,14.43499207,192.87189409,122.40756246,0.63795572,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
55.0,MS844,B737,-0.49116938,-0.42494317,9144.00000000,126.62504346,126.62504346,190.27320597,190.27320597,-113.51237525,152.70505419,120.29469055,0.62760486,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
55.0,MS845,B737,-0.31236894,0.02050786,9144.00000000,176.65121437,176.65121437,200.15053077,200.15053077,-199.80876187,11.69160590,126.96563199,0.66018463,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
55.0,MS846,B737,-0.48635491,0.46190220,9144.00000000,245.57479864,245.57479864,188.78131837,188.78131837,-78.06200982,-171.88574341,119.29231451,0.62268396,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
55.0,MS847,B737,-0.93607363,0.65779517,9144.00000000,277.75047831,277.75047831,192.89687037,192.89687037,26.01391801,-191.13471340,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
